review,division
able play youtube alexa,positive
able recognize indian accent really well drop function helpful call device talk person near device smart plug schedule work seamlessly con would sound kindloud but lack clarity mid frequency need tweeked optimum clarity rarely device doesnt respond call alexa,positive
absolute smart device amazon connect external sub woofer sound amaze recons voice even close room like almost collection songs english hindi must quite moneys worth,positive
absolutely amaze new member family control home voice connect home anywhere world,positive
absolutely amaze previously sceptical invest money but arrive worth ityou absolutely buy wont regret cheer,positive
absolutely cheat customer if buy amazon product definitely want buy amazon prime members also case if song want play absolutely need amazon prime membership otherwise can not play music app no google apps not work amazon alexa if anybody want amazon alexa go google home everything also free cost app,positive
absolutely house hold item fair price intuitive speech recognition superb use hindi english sometimes hinglish also big thank amazon team even place draw room call alexa bedroom ears us play favourite songs flawlessly overall best fit must guess guests visit us purchase enjoy performance must buy,positive
absolutely mind blow device beautiful shape excellent work nice performance verry easy usebut problem no battery storage work pluggedotherwise amaze,positive
accept dutch language,neutral
accessibility limit amazon apps music appsexcellent use bluetooth speaker,negative
accha hain magar month baad issme pata ni kia hua chalta hi ni hain,neutral
accord work software no google spot not consider perfect sound good,positive
act family member,neutral
actually earlier not recognise voice think device manufacture issue but one thing realise amazon far far better e commerce company currently present india mean put bad review consider unknowning fact language change device not aware get call ireland call centre ask issue trust guy really impress way amazon customer service representatives handle issue face issue regard voice recognition particular device request help customer care will amaze help later usagefrom amazon user bye bye flipkart,positive
actually pretty cool,positive
acutally gift old lady fully amaze enjoy alot wonderful item must buy every household,positive
ad ability india not workinglets see gcompany need work,positive
add feature otherwise good,positive
add youtube music hungama music amazon music dont songs specially nunur bape dome jore song not play alexa add youtube music will,positive
addictive,neutral
ai improve things like google assistance like easy things google assistance nail but shop interlink amazon account useful,positive
ai need improvement doent use google search doent recognise command quiet often animal sound need improvisation kid skills overall need updationvoice recognition n audio quality awesome pls update software,positive
ai not good play track alexa dont understand us properly voice recognition poor volume,negative
ai system need improvement poor performance come song selection especially old hindi classic songs,negative
aint responsive voice command quality sound reproduction accoustics subpar say least,positive
alag alag se bolate rahte hain kabhi kam sunti,neutral
alex bluetooth not work,neutral
alexa,neutral
alexa,neutral
alexa,neutral
alexa absolutely foolish recognise ask simple language sound good mic good but know worst,positive
alexa absolutely wonder fast correct thr time witty really fascinate developers fit much humour plus voice always catch ones attention great device,positive
alexa act stupid,negative
alexa always better google homebut miss thingsmicro usb internal power,positive
alexa always super,positive
alexa amaze,positive
alexa amaze,positive
alexa amaze say alexaand go make life easier lot,positive
alexa amazingsound quality great,positive
alexa amazingwe love,positive
alexa app not available download connect,negative
alexa app recognise device gen echo dot device frustating device properly configure play musics well but shutdown device need reconfigured,neutral
alexa awesome bcoz give quick response,positive
alexa awesome improvement but time cable conection not good,positive
alexa bad,negative
alexa become family member even know sound quality ability integrate ones daily life home awesome info weather traffic snarl weve come depend bright new companion,positive
alexa become one family members really fun interactive go blindly,negative
alexa become part day night nice device google music play device love product,positive
alexa best,positive
alexa best product see long time recognise voice perfectly,positive
alexa best undoubtedly,positive
alexa best way transfer home smart home good sound quality hear senstivity great price,positive
alexa better google assistant,positive
alexa cable not receive pack,neutral
alexa can not hear start play,neutral
alexa cant answer many thingsi dont find use except music player alarm,positive
alexa change life completely thankyou alexa,positive
alexa come indian languages like odia,negative
alexa cool give alexa,positive
alexa could not voice recognitionproduct not goodplease confirm replacement statusi m wait days no response u r side,neutral
alexa cute but not smart cant answer query but cute though,positive
alexa device defective not respond complete installation process but device not work connect,neutral
alexa device good but bulb not much use without wifibulb work mobile data,positive
alexa device good wont say best sometimes doesnt recognize voice overall would say value money purchase offer get smart blub wipro free amazon sale,positive
alexa device speaker remarkable function precisely error voice recognition sound device fabulous wont regret buy alexa device smart buy smart,positive
alexa doesnt full feature struggle reminder reminder doesnt work doesnt remember play list doesnt store multiple play list face problem retrieve multiple playlist cldnt find multilanguage recognition featureskill eg tamil usual issue payondelivery courier show resistance pay delivery cash otherwise everything perfect quality delivery,positive
alexa doesnt respond correctly alwaysalso would love see youtube available,positive
alexa doesnt understand command limit music options not much use,positive
alexa doesnt understand command properlyi ask play sainyoo nee play sainya vei ask play play languages radio station dont understandit not able recognise wipro bulbi feed alexa want return back if possible,negative
alexa dont understand indian regional languages,neutral
alexa dot good nice sound quality super bass super clierty but amazon service poor poor,positive
alexa dot mini like funny informative kind friendit available languagesbrilliant work amazon,positive
alexa dumb compare google home think make mistake buy instead go ai assistant available market,negative
alexa dumb say something say something else play arjit singh songs will start songits irritatingi not enjoy please find solution intelligent,positive
alexa echo dot super smart sophisticate technologyif fire tv best control tv voice recognize voice perfetly also play many game best kid also buy smart light control voice almost every question ask also ask say story play music much,positive
alexa echo dot wipro smart bulb good combo offer get every one experience next generation intelligence alexa smart way control musiq sound light kid love ask many question alexa give answer,positive
alexa echo not respond voice commandtill setup everything okbut not respond voice command,neutral
alexa echo value money lo use ask sing nursery rhyme stories hit,neutral
alexa eco worth anyones buy try experience life,positive
alexa flagship product amazon good product provide use fully,positive
alexa generation echo amaze great soundjust songs vocabulary require but good,positive
alexa generation worth buyingexcellenteasy accesssound goodkids will enjoy talk alexa,positive
alexa go eat brain chatty mode nonworking brief mode tell play song get enjoy state song title singer name source amazon music aaple musicor jio saavn pretty annoy if ask refund initiate,negative
alexa good bollywood hollywood songs come tollywood regions languages telugu tamil alexa not respond properly infact unable recognize telugu musicalbams need improve recognize regional languages,positive
alexa good but not work hindi language but think dat not latest version alexa include hindi language kindly help kindly exchange if possible,positive
alexa good but sometime not command correctly,positive
alexa good entertain voice recognition awesome totally worth money,positive
alexa good friend integration smooth good sound quality excellent one room enough easily installable,positive
alexa good listen command things perfectly kid keep busy give star deduct star one con feltatleast give build nasty back work atleast hrs continuous power supply need,positive
alexa good listen news music sound also good recive sound far also good must buy things,positive
alexa good product home sound quality superb,positive
alexa good quailty,positive
alexa good sound,positive
alexa good sound quality good function good boys good material user thank amazon thank,positive
alexa good sound quality nice voice recognition,positive
alexa good thing will help us study good alexa will control full home want say alexa,positive
alexa good understand indian accent cover hindienglish language job voice assistant term manage devices around try control denon avr alexa basic task pay song change volume but cant change music mode etc similarly control airtel internet tv set top box settop box swith not swith offso get work do upto certain extend but not completelythe biggest problem see echo devices not get information web though connect internet always every thing need skillideally go web find basic answer instead say dont knowif anyone want use play music one best smart speaker available market give price,positive
alexa good understand query well conversation mode need train alexayou change call sign alexa but options available buy rs go buy another,positive
alexa good value money fun use use india make sure u select english india language relate conversations media content,positive
alexa great bedroom live room alexa work like magic also get light wifi enable wipro along alexa package work wonder usit understand hindi english also talk us alone lonelyyou also connect alexa mobile use bluetooth speaker true fact version plug time but apart great love true fan alexa,positive
alexa grow child would like hold hand cuteq like alexaans sound quality glow lightbonus tip buy offer will beneficial,positive
alexa helpful advance but effect enjoy if devices connect songs not find library need update frequently,positive
alexa helpful play handsfree music joke remainder news update facts alexa skills add value product,positive
alexa helpful product switch off power search voice anything play music,neutral
alexa horribly wrong dumbi make mistake not buy google mini speakeralexa no answersit stupid speakeri know u need enable skills thathowever still bad assistantfully disssatisfiedaudio quality good but one buy simple bluetooth speaker cost rather mess ur mind incapable ai speaker can not answer questionsused fireststick limit usage limit appswill still need remote anyway not much useful firesticki strongly suggest please buy google home mini insteadaudio may bite less but google assistant amaze,negative
alexa integration awesome configure home appliances itworth buy awesome sound quality,positive
alexa integration collect days but amount not credit amazon wallet please check reply,neutral
alexa integration good sound quality bluetooth connectivity also good,positive
alexa integration great voice recognition perfect sound quality awesome hall but best felt small size room must buy starter amazon smart speaker,positive
alexa integration greatspeaker sound quality great bluetooth connectivity also good,positive
alexa integration greatvoice recognition bad choice respond late not much farthersound quality seem good good pitch stabilizationwouldve great if wireless,positive
alexa integration still pain sometimes doesnt hear us speak need talk loud phone integration still bad take time mins,negative
alexa integration voice recognition sound quality,positive
alexa integration weak n also sound quality weak,negative
alexa integration would one device bluetooth,positive
alexa integrationsound quality bluetooth connectivity besteven helpful sometimes,positive
alexa isnt connect bluetooth wifi connect but no internet available display please correct,positive
alexa isnt smart expect,positive
alexa itergrationvoice recognition sound quality good also look pretty,positive
alexa learn day day behave like grow baby,neutral
alexa love,positive
alexa love u,positive
alexa love u,positive
alexa much rat want star,positive
alexa need real upgrade general echo dot gen poor voice recognition literally yell alexa listen crank volume change track anything whatsoever quite expectations since proudly fire stick even buy speaker buy mainly purpose favorite music could come handy still prefer play music tv speaker mean buy speaker if cant even play music without fuss overall big no highly disappoint,positive
alexa new friend lockdown hear good music prime account,positive
alexa no loyalty ever ask respond no voice recognition sound quality excellent mainly depend hungama songs,positive
alexa not able recognise voice time sound quality also puncture not decent experience,positive
alexa not able understand hindii try settings but product not instal hindi language software not communicate hindi,negative
alexa not able understand language easily bluetooth connectivity poor,negative
alexa not good,negative
alexa not great voice interactive service like google improve good chatbot love volume kid njoying,positive
alexa not helpful various command developers need upgrade skills command recognition,neutral
alexa not know everythingas say information topic coronait say sorry dont know thisjust link alexa google youtube,negative
alexa not recognise voice respond instantly song go alexa deliver music newsseems problem device,neutral
alexa not respondingblue light show aroundcant even reset,positive
alexa not work months purchase stop work,neutral
alexa not work respond command internet connection good stable suddenly happen days usage dont know please somebody help,positive
alexa not work tv,neutral
alexa not workingno lead light workingalexa totaly stop need repair iti want service centre number,positive
alexa ok nice speaker n mic but not recommend itamazon executive contact help step connect wipro garnet appreciate take concern customer use alexa thank amazon,positive
alexa one best product amazonyou try iti feel utmost satisfiction product,positive
alexa one step get information whatever want voice recognition also good go sometimes confuse problem not wireless continously plug corner plus feature need upgradation eg maths calculation math calculations alexa couldnt overall satisfy product,positive
alexa opbut if want alexa buy black colouras colour tatti,negative
alexa overall good smart speakerbut time difficulty process voice commandssound output good,positive
alexa pair easily act nice bluetooth speaker sound awesome specially bass owe gen echo amd take word gen echo n time better last sound quality worthy successorspecial thank amazon quick replacement echo deviceonly thorn foot software sometimes fail search desire music,positive
alexa play amazon prime songs not outside songs waste money,negative
alexa play tollywood latest songsalexa turn light etc much morewonderful ai,positive
alexa poor quality adapter jaise tape lagi hui ha poor quality alexa speaker jaise old model de diya ha,negative
alexa pretty much job sound quality good microphone good not best job but lacs lot knowledge depend upon wikipedia if not mention wikipedia wont answer if u ask u always give std reply bite irritatingit time blink orange color indicate wait command word arent use kind spy,positive
alexa problem time doesnt respond instructionson initial day set keep make mistake not recognise voice didnt expect alexa,neutral
alexa product super amaze granny surprise experience unbelievable way understand alexa adapt,positive
alexa program search quality not fast say not clever perticular old singers gazals singers devotional songs religions,negative
alexa purchase oct today not connect not work within one year hope will get replace amazon,neutral
